Country,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
Jamaica,-0.29353291458879577,-0.3470103362825329,0.7733341307586207,0.7842338668356671,-0.5068832472377719,0.7607056040043743,0.06712578628555194,-0.28818277182714647,-0.3025677087176389,0.2240380439369672,1.0827778894534759
Japan,-5.495102163670723,1.035348412005583,-3.3983740367292072,0.3690887409131617,-0.30379824073482176,-0.06923846041775365,-2.045690435797751,-0.5399677987220034,0.14465696070054218,-0.6153621940035844,0.17327515150296716
Jordan,-0.6569598684332925,-0.7192249449272927,0.8143515719294616,-0.5927262120814085,-0.22086939536811928,-0.07585123260300289,0.931459860742479,1.1351348668301635,1.0283858249547158,-0.48150286744504156,-0.004194784821651867
Kazakhstan,-1.0452264189659075,2.093103652200427,2.31718768684756,-0.7016763654575376,-0.5514631921181281,0.38183674493333386,0.6269485083774453,0.4423053842547162,-0.36309563135393846,-0.42316553199371415,-0.6892648256329483
Kenya,2.766867011722626,1.1454984530052326,-0.6808706880600853,-0.9735845381171407,0.8289204400218537,1.8025130174930761,0.24356247908265594,-1.2993816386146686,-0.37699251192576705,0.5522701065097579,-0.25026758135290994
Kiribati,2.9053924512675846,-2.7836009240960617,-1.0397007052662348,-0.5741127513076333,-0.6723798198427162,-0.956252351914274,-0.38696713167384833,1.9331822413575541,0.10463166876549952,0.9164528051106215,-0.6472816608188932
North Korea,0.2480374065445017,-0.14302968363797913,-0.9496462647247613,-0.5387048507776395,-0.35779433002322525,-0.4210360312719904,-0.8381464568140946,0.19768374518241608,-0.46046144869028666,0.7264014837485469,0.8401938460292969
South Korea,-3.6598551950102096,2.253651964437393,-0.8260118027522197,-2.0155864024720938,0.5807282609229385,-0.4348407073245518,0.6806564433616914,-0.23149362226161038,0.04985082357137648,0.8212183576479386,-0.6006913258124517
Kosovo,0.2000568358238641,-1.1168475459447038,1.0336450012692362,-0.2953593986672267,0.8138752204017048,-0.33730634892965866,-0.7294322704315257,0.5648229763543862,-0.15113876530963707,-0.03728208093300285,0.250954661427621
Kuwait,-2.0955888136024177,0.2804862709881679,2.7640551293730997,-1.5956222482302094,0.5599707610193313,-1.8969005016323495,0.890849619380651,-0.2540787456575801,0.6073615074819472,0.49668147924941103,0.17266659594643155
Kyrgyzstan,1.379500826134668,-0.5468421494876017,1.0091102689969833,0.817091453487593,-0.6702046035169192,0.45353642878927003,0.6381178282659863,0.8909829200287961,-1.186228863766248,-0.8675649554986231,0.861501950218982
Laos,3.707268241842795,0.5586579037992938,0.4366763294301449,1.1058754825418557,2.396083740109604,-0.15754401140651275,-1.0567657287070873,-0.4874513097612056,-0.1616050877260872,0.12301303028466808,0.17454106883828585
Latvia,-2.6278482606733977,-1.2994107673196718,0.5972141333181694,0.6970430556798524,-0.24875119507518434,0.5204338715319196,-0.36001418181147193,-0.24560306005884003,-0.46516362277051887,0.9886926147379296,0.34977185593238624
Lebanon,-1.1374589820193715,-0.8019776499979145,-0.3552062801988934,-0.5450285537597657,0.8940777159831793,0.33370579768243885,0.7947044689663495,0.25055889225353234,0.04960946441279027,1.029865834087375,0.053592429514838356
Lesotho,3.26299957564142,-1.0967325255409226,-0.25075499008666496,-0.0026551579318380993,0.23243293916434013,-0.18378288050476366,-1.2917007298999232,1.3764347375215507,1.1204485517870844,0.02913174102418165,-0.11873067804489834
Liberia,3.6687184360150065,-1.3961549652172947,-1.5792763657114575,-0.9526761736036541,0.6507875791466146,1.0843880471749925,1.1816256832649792,0.6515743488359146,0.6088638652954158,-0.09105725394587463,-0.8693634827467348
Libya,0.17639547428537294,1.9220646122587113,2.9697759424261054,1.076532080948724,-0.4198544310566038,1.268383090403582,-0.2888223668270515,-0.37222017346841424,2.7732260300074203,0.4918033733090485,-0.5299806375211462
Lithuania,-2.967476654605665,-1.0973233690236266,1.4878012354113817,0.8392715613434129,-0.5456004527421202,0.6066142803090426,-0.1312872637407801,-0.2741150833035534,-0.4053657605315784,-0.523630642218252,-0.3862335452304317
Luxembourg,-4.324885079037015,-2.0537258353170462,-0.10857404528891591,-0.27782932658220055,1.5684272534345314,-0.35818396080812387,0.7443772851453676,-0.5093295485880571,-0.15447340965150122,0.24202861464039216,0.22709470376399518
Macao,-3.0730380415459013,-0.5248548415029782,3.120658617985891,1.0590120610813303,-0.1587714465514429,1.4476213821124226,0.7837283789920613,-0.463143980847794,1.0027363138629084,-1.8572945122014268,-0.6016733920634528
North Macedonia,-1.469053504115146,-1.8023197641791209,1.1758569204470621,0.09341461881903328,-0.03861297552948718,0.202460583528699,-0.5889776866454824,1.319722659346521,-0.5548583718717944,0.4242703335420826,0.40842189487218183
Madagascar,3.6081188015704355,0.10067184561635337,-0.779590113807696,-0.25124896558298687,0.7664894475888017,0.4732760908038283,0.9073473607502284,0.32756189460803303,-1.1254496688440192,-0.3378412173535913,1.9414887028296013
Malawi,4.767813174557295,-0.48074565023450005,-1.7017468412306256,-0.5295445362860783,1.9633275297257997,1.2501818875828894,0.991510450646894,0.6409979939110358,-0.9503881336382355,0.22350193449890987,0.6089697110865115
Malaysia,-2.314240514095462,1.9572888096256869,1.6480441814678106,-1.8111414852000927,-0.2706014428589237,-0.6740599936517585,0.5719746076487694,-0.23642161084446536,-0.18031445352055034,-0.05484617253997702,-0.2793070257182861
