Country,Birth Rate,Business Tax Rate,CO2 Emissions,Days to Start Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound,GDP_trend,Internet Usage_trend,CO2 Emissions_trend,Life Expectancy Female_trend,Mobile Phone Usage_trend
Dominican Republic,0.02323076923076923,38.6375,20600.545454545456,41.1,7153.666666666667,37520339898.15385,0.05607692307692307,212.53846153846155,322.5,0.028538461538461537,0.17692307692307693,0.21676923076923077,75.07692307692308,68.92307692307692,0.5153846153846154,0.3267692307692308,0.6160769230769231,0.057076923076923074,9476139.153846154,0.6868461538461539,3674076923.076923,491230769.2307692,3242528405.9011,0.033516,37.590909,0.208791,0.080769
Ecuador,0.023153846153846153,35.1125,27944.909090909092,68.0,10590.0,48637821955.07692,0.06084615384615385,219.3846153846154,620.25,0.023615384615384614,0.13076923076923078,0.1315714285714286,77.76923076923077,72.0,0.5615384615384615,0.3236153846153846,0.6191538461538462,0.05730769230769231,14017736.0,0.6186153846153846,608384615.3846154,682153846.1538461,5284307557.714286,0.033516,1009.236364,0.225275,0.098901
Egypt,0.024153846153846154,45.2,166408.81818181818,16.5,60913.583333333336,141866184882.23077,0.05223076923076923,92.3076923076923,532.5,0.025384615384615387,0.16153846153846155,0.12592307692307692,72.07692307692308,67.38461538461539,0.4230769230769231,0.3269230769230769,0.6183846153846153,0.054538461538461536,73163265.92307693,0.42976923076923074,8250538461.538462,2183384615.3846154,14949844520.609894,0.037363,8475.245455,0.181319,0.102747
El Salvador,0.02153846153846154,34.75,6374.454545454545,40.3,4343.0,18331600000.0,0.07076923076923078,209.23076923076923,320.0,0.01953846153846154,0.07692307692307693,0.14,75.61538461538461,66.23076923076923,0.6923076923076923,0.34784615384615386,0.5886923076923076,0.06346153846153847,6110102.846153846,0.6216153846153846,652769230.7692307,289461538.46153843,935573076.923077,0.01978,66.636364,0.208791,0.128571
Equatorial Guinea,0.03776923076923077,44.1,4348.0,135.25,1318.25,8076435539.230769,0.02969230769230769,458.15384615384613,492.0,0.08476923076923078,0.02307692307692308,0.180875,51.0,48.46153846153846,0.2692307692307692,0.4052307692307692,0.5626923076923076,0.032,623601.7692307692,0.38992307692307693,9500000.0,24500000.0,1368254937.615385,0.008242,207.990909,0.467033,0.058791
Eritrea,0.03930769230769231,84.5,607.9090909090909,83.0,736.6666666666666,1449888909.6153846,0.03292307692307692,8.692307692307692,216.0,0.04630769230769231,0.0,,61.46153846153846,56.76923076923077,0.011111111111111112,0.4401538461538461,0.5398461538461539,0.02,5023424.692307692,0.19307692307692306,58900000.0,,180563027.714286,0.0,-18.436364,0.565934,0.006667
Estonia,0.010846153846153846,52.05,16579.363636363636,25.6,5209.538461538462,15458092841.23077,0.054538461538461536,639.7692307692307,81.0,0.005538461538461538,0.5846153846153845,0.06692307692307692,78.61538461538461,67.76923076923077,1.0538461538461539,0.15869230769230772,0.6736923076923078,0.16776923076923078,1353501.5384615385,0.6860769230769231,1217384615.3846154,615076923.0769231,1586951749.93956,0.042857,205.572727,0.489011,0.088462
Ethiopia,0.038307692307692306,30.575000000000003,5520.272727272727,22.8,29554.583333333332,19291131748.615383,0.04415384615384615,9.923076923076923,215.0,0.06653846153846153,0.0,0.08222222222222222,58.84615384615385,56.61538461538461,0.038461538461538464,0.45561538461538464,0.5126153846153846,0.03184615384615385,78504633.38461539,0.16138461538461538,858076923.0769231,105923076.92307693,2868076448.774725,0.0,186.309091,1.027473,0.014286
Faroe Islands,0.013,,749.2727272727273,,,1724680290.4,,,,,0.676923076923077,,82.84615384615384,77.6923076923077,0.9230769230769231,,,,48802.38461538462,0.3954615384615385,,,154991159.284849,0.042308,-6.072727,0.247253,0.065934
Fiji,0.02292307692307692,40.3,1086.7272727272727,47.0,581.75,2870358465.3076925,0.037384615384615384,128.0,149.875,0.02007692307692308,0.13076923076923078,0.07738461538461539,71.53846153846153,65.92307692307692,0.4461538461538461,0.3093846153846154,0.6479230769230769,0.04261538461538462,835714.6923076923,0.5026923076923077,661307692.3076923,107461538.46153846,187561944.175824,0.021978,24.481818,0.236264,0.083516
