Country,Birth Rate,Business Tax Rate,CO2 Emissions,Days to Start Business,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Mobile Phone Usage,Population 65+,Population Total,Population Urban,Tourism Inbound,Internet Usage_trend,CO2 Emissions_trend,Life Expectancy Female_trend,Mobile Phone Usage_trend,KMeans_Cluster,GMM_Cluster,GMM_Confidence,GMM_Prob_Cluster_0,GMM_Prob_Cluster_1,GMM_Prob_Cluster_2,GMM_Prob_Cluster_3,Hierarchical_Cluster,Spectral_Cluster,Birch_Cluster,KMeans_Cluster_Label,GMM_Cluster_Label,Hierarchical_Cluster_Label,Spectral_Cluster_Label,Birch_Cluster_Label
Israel,-0.119516363672153,-0.5462844351650882,0.1985272769808909,-0.5769712137462318,1.0680676077758904,0.5093469928885961,1.6783210304833374,-0.2772596068263503,-0.9723205560360269,0.829340043302868,-0.7829634496565102,1.6300719165173356,0.6089225847869968,-0.4283839644273487,1.5331572813192376,0.9173559380943124,1.5098544033282986,0.2010474266868032,-0.2267354616364527,-1.1387693505372534,3,3,1.0,1.991434577837055e-23,4.330562808686931e-18,1.2469833908433507e-180,1.0,2,0,2,Developed,Developed,Developed,Developing,Developed
Italy,-1.1760148174029166,1.3690391206230057,2.400502510207962,-0.8973286762074646,1.5335888537372568,0.963819908542641,2.3938043613232227,0.1468231833097298,-0.9911073945993912,0.7252818285437047,-1.0331962087259667,2.063651051725737,2.563027292904343,1.7325343192832003,0.534244544914645,1.4772003957052011,0.0647337165679719,-2.1605540923185584,-0.2844497344363136,-0.0142681890913425,3,3,1.0,0.0,3.393964784748923e-33,0.0,1.0,2,3,2,Developed,Developed,Developed,Developed,Developed
Jamaica,-0.528483507051803,0.2060738613202746,-0.5106191125816703,-0.8572839933998107,-0.2092532188819995,-0.5800987198140034,-0.4344334819067408,0.6695454831768287,-0.5133849282737993,-0.2806142474615448,0.6254612496118896,0.6031739647079625,0.0957715110293516,-0.6155894533830925,-0.0920604565352672,0.5296632582907771,0.1261782067345935,-0.4897557639144085,-0.3421640072361745,0.1656399901271023,0,0,0.9999317386485786,0.9999317386485786,6.826135142046262e-05,3.19900310363062e-23,7.79789220496329e-23,2,0,0,Developing,Developing,Developed,Developing,Developing
Japan,-1.2441760079661943,0.3728434585260979,2.400502510207962,-0.4131520568058287,1.5335888537372568,0.9219181503617716,2.3938043613232227,0.3165905027787619,-1.031364905806606,1.904608262480893,-1.5445414120418115,0.6944537826465734,2.753671654671886,2.6433695690674925,1.308944626894334,1.396989452333396,1.0178507990068617,-2.1605540923185584,-1.0058755184325372,-0.8688934378312897,3,3,1.0,0.0,1.7568998597198382e-37,0.0,1.0,2,3,2,Developed,Developed,Developed,Developed,Developed
Jordan,0.6166244944112185,-0.7054735961342832,-0.3995286751635267,-0.5405669566483645,-0.0205400492597547,1.134650153433878,-0.3677877613344965,-0.7717991896274438,-0.4301860717788922,-0.2806142474615448,-0.5881181787605313,0.283694601922824,-0.822498831484326,-0.4933975678452864,1.1054684029364734,0.6663417413680767,0.2491791078149529,0.1618611337892408,-0.6307353712354793,0.6604215926735667,0,0,0.9868901305469154,0.9868901305469154,0.013109869453026057,5.73445288780771e-14,1.5339720459152784e-31,2,0,0,Developing,Developing,Developed,Developing,Developing
Kazakhstan,-0.2967354591366684,-0.3946757104325213,1.741327524637253,-0.5187244023896441,0.7614829731603754,-1.028125211132528,-0.416867117858146,-0.1786200970953316,-0.1913248386160979,-0.4887306769798725,-0.2142526335895652,0.3521544653767823,-0.0329134331637412,-0.0712263988118632,-0.0275831180518048,0.2238483722058165,0.8334054077598807,1.972248565940824,-0.2844497344363136,2.2197258676742626,2,1,1.0,2.0739854197375442e-160,1.0,0.0,2.785689251240533e-48,2,2,0,Developing,Developing,Developed,Developing,Developing
Kenya,1.345949233438269,0.2281834670104406,-0.5239950950855916,0.22392244240685,0.1253404772079981,-0.8057235715571458,-0.6966513888866736,0.6225742880668198,0.9412531433468234,-0.6621610349118117,0.27830038623885,-0.8573031223098128,-0.9384741515595828,0.8335443520406758,-1.394243488520366,0.2871887957866265,-0.1505458405094358,-0.0949972954053327,2.774411975960394,-0.2391738789318433,1,2,0.9999999999738058,1.434946997268016e-82,2.6192864038746443e-11,0.9999999999738058,1.164212681057358e-276,0,1,1,Underdeveloped,Underdeveloped,Developing,Underdeveloped,Underdeveloped
Kiribati,0.1940251129189184,-0.6303009367877188,-0.6466694500128304,-0.2529733255752124,-2.403989855716813,1.7083819192950105,-0.5555881624358369,-0.8778198871614639,0.6165092196086407,-0.8355913928437515,-0.2142526335895652,-1.5647217113340477,-0.7367088686889315,-0.7238194815192762,-0.487996675765372,-2.5126436753434707,-0.8269948360778541,-0.3893770827965821,-0.0824471536347617,-1.73849966494086,1,2,0.9999999999995524,4.4686697533169495e-13,1.934675320498747e-18,0.9999999999995524,3.715624237829983e-189,0,1,1,Underdeveloped,Underdeveloped,Developing,Underdeveloped,Underdeveloped
North Korea,-0.6511736500656996,-0.1622089991759189,0.3518098205435824,-0.30029885980244,-0.0134202586618533,-0.1304606224115983,-0.4330494653453364,-0.228275360497341,-0.1134936502821507,-0.2806142474615448,-0.2142526335895652,-1.6046566316821895,0.0846505899262456,0.2823026937664881,0.1982495700033362,0.0617399093427,0.0647337165679719,-0.7806609043963635,-0.1113069160367307,-1.279710613340722,0,1,1.0,1.6983941593588755e-42,1.0,5.914182772751495e-82,2.3236857687203663e-53,2,0,0,Developing,Developing,Developed,Developing,Developing
South Korea,-1.1419342221212776,-0.6789420693060841,2.400502510207962,-0.7917563306236494,1.5335888537372568,-0.1481882893342749,0.7506040830927025,-0.1450692434453253,-0.9669528878750636,2.182096835171997,-0.9530821633321884,0.877013418523795,0.4897698586822802,1.3217868827388248,1.095424194428999,1.3658633891205183,0.0032332660277922,1.972248565940824,0.7544071759611836,-0.883901703957506,2,3,0.9999999999999325,0.0,6.833292945086008e-14,0.0,0.9999999999999325,2,2,2,Developing,Developed,Developed,Developing,Developed
